,Word,Definition
0,Shoemaker,"A person who crafts, repairs, or sells shoes and other footwear."
1,Police,"A law enforcement agency responsible for maintaining public order, preventing and investigating crimes, and ensuring the safety of the community."
2,Retired,"No longer actively working or employed, typically after reaching a certain age or completing a career."
3,Painter,"An artist or craftsman who creates visual art through the application of paint to surfaces, such as canvas, walls, or objects."
4,Athlete,"A person who participates in sports or physical activities, often professionally, as a competitor or performer."
5,Tailor,"A skilled professional who designs, alters, and sews clothing to fit individual customers."
6,Collector,"A person who gathers and accumulates items, such as art, antiques, coins, or memorabilia, often as a hobby or for investment."
7,Baker,"A person who prepares and bakes bread, pastries, and other baked goods, often working in a bakery."
8,Weaver,"An individual who creates fabric by interlacing threads or fibers, typically on a loom."
9,Gardener,"Someone who cultivates and cares for plants, flowers, and landscapes, often in gardens or outdoor spaces."
10,Farmer,"A person engaged in agricultural activities, such as growing crops or raising livestock, for sustenance or commerce."
11,Attendant,"A person responsible for providing assistance, service, or care, often in a specific setting, such as a hospital or a hotel."
12,Guard,"An individual tasked with protecting property, people, or assets, often employed in security or law enforcement roles."
13,Housekeeper,A person responsible for cleaning and maintaining the cleanliness and orderliness of a household or establishment.
14,Laborer,"A worker who performs physical tasks, often involving manual labor, in various industries or construction."
15,Carpenter,"A skilled craftsman who works with wood, constructing and repairing structures, furniture, and other wooden items."
16,Mason,"A worker skilled in stonemasonry, who constructs structures using stone or brick."
17,Secretary,"An administrative assistant who manages office tasks, organizes information, and handles correspondence for an organization or individual."
18,Mechanic,"A professional who repairs, maintains, and services machinery, vehicles, or equipment."
19,Soldier,A member of the armed forces who serves and protects a country through military service.
20,Surveyor,"A professional who measures and maps land, property, or geographical features, often for legal or construction purposes."
21,Janitor,"A person responsible for cleaning and maintaining buildings, often in a commercial or institutional setting."
22,Musician,"An individual skilled in creating, performing, or composing music using instruments or vocals."
23,Operator,"A person who operates machinery, equipment, or systems in various industries, ensuring their proper function."
24,Driver,"A person who operates a vehicle, transporting passengers or goods from one location to another."
25,Clerk,"An administrative assistant who performs tasks such as record-keeping, data entry, and customer service."
26,Cook,"A person who prepares and cooks food, often in a professional kitchen or restaurant."
27,Cashier,"An employee who handles financial transactions, such as receiving payments and providing change, often in retail or service settings."
28,Conductor,"A person who leads and directs an orchestra, choir, or musical ensemble during performances."
29,Bailiff,An officer of the court responsible for maintaining order in a courtroom and executing legal orders.
30,Blacksmith,"A skilled artisan who works with iron and steel, shaping and forging metal into various items."
31,Sheriff,"A law enforcement officer responsible for enforcing the law, maintaining order, and serving legal documents within a county."
32,Sailor,"A person who works aboard a ship, often involved in navigation, operation, or maintenance."
33,Clergy,Religious leaders or ministers who provide spiritual guidance and perform religious ceremonies within a faith community.
34,Clerical,"Relating to office work or administrative tasks, often associated with clerks and administrative professionals."
35,Inspector,"A person responsible for examining, evaluating, and ensuring compliance with regulations, standards, or quality control."
36,Sales,The activity of promoting and selling products or services to customers.
37,Midwife,A healthcare professional trained to assist women during childbirth and provide prenatal and postnatal care.
38,Porter,"A person who assists with carrying and transporting luggage, goods, or passengers, often in a transportation or hospitality setting."
39,Smith,"A worker or artisan who specializes in a particular craft or trade, often indicated by a prefix (e.g., blacksmith, goldsmith)."
40,Dancer,"An individual who performs dance movements and routines, often as a form of artistic expression or entertainment."
41,Artist,"A creative individual who produces visual, performing, or literary art to express ideas, emotions, or aesthetics."
